PM10,PM2.5,SO2,CO,O3,NO2,PM10_pred,PM2.5_pred,SO2_pred,CO_pred,O3_pred,NO2_pred
14.000000000000002,25.0,0.0,7.000000000000001,0.0,4.0,15.30952,24.615236,1.6893411,6.9173455,1.856401,4.195325
14.000000000000002,24.0,0.0,7.000000000000001,0.0,4.0,16.305216,24.308594,2.343656,7.038739,1.4410582,4.287916
14.000000000000002,25.0,0.0,7.000000000000001,0.0,4.0,16.812555,24.02208,2.8499358,7.126882,1.18319,4.3298864
14.000000000000002,24.0,0.0,7.000000000000001,0.0,4.0,15.9365015,25.32816,1.7940305,6.923617,1.9668359,4.2132697
14.000000000000002,25.0,0.0,7.000000000000001,0.0,4.0,17.101635,25.171143,2.4416027,7.063156,1.5450014,4.3143187
14.000000000000002,25.0,0.0,7.000000000000001,0.0,4.0,17.681753,24.946516,2.9443588,7.1547694,1.2775403,4.3598547
14.000000000000002,25.0,0.0,7.000000000000001,0.0,4.0,15.508556,24.606451,1.7431746,6.954021,1.8166304,4.2153454
14.000000000000002,25.0,0.0,7.000000000000001,0.0,4.0,16.443953,24.281061,2.392326,7.0770717,1.3947157,4.3060064
14.000000000000002,24.0,0.0,7.000000000000001,0.0,4.0,16.906212,23.975388,2.8908951,7.1649046,1.135598,4.347046
14.000000000000002,25.0,0.0,7.000000000000001,0.0,4.0,15.950904,25.179625,1.7928904,6.9492726,1.9265467,4.216729
14.000000000000002,24.0,0.0,7.000000000000001,0.0,4.0,17.024275,24.973492,2.441351,7.0866637,1.5019586,4.315935
14.000000000000002,24.0,0.0,8.0,0.0,4.0,17.5549,24.724491,2.9413497,7.1787925,1.2398493,4.361511
14.000000000000002,24.0,0.0,7.000000000000001,0.0,4.0,15.937889,25.2482,1.8162028,6.9509244,1.932393,4.2259383
14.000000000000002,24.0,0.0,8.0,0.0,4.0,16.994507,25.020988,2.4615996,7.091419,1.508891,4.3271027
